,Common Name,Kingdom,Phylum,Class,Subclass,Infraclass,Superorder,Order,Family,Genus,SPECIES,Continents,Countries,Regions,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Subcontinents,Group name,Islands,Introduced Countries,Suborder,Oceans,SUBSPECIES OF,Subfamily,Subgenus,Tribe
0,afep-pigeon,Animalia,Chordata,Aves,,,,Columbiformes,Columbidae,Columba,Columba unicincta,Africa,"Equatorial Guinea,",,"Freshwater,Anthropogenic biome,Forest,Rainforest",,,"https://en.wikipedia.org/wiki/Afep_pigeon,https://www.iucnredlist.org/species/22690127/130169710,https://xeno-canto.org/508863",https://animalia.bio/afep-pigeon/,,,,,,,,,,
0,afghan-babbler,Animalia,Chordata,Aves,,,,Passeriformes,Leiotrichidae,Argya,Argya huttoni,,"Afghanistan,",,,,,"https://en.wikipedia.org/wiki/Afghan_babbler,https://xeno-canto.org/406076",https://animalia.bio/afghan-babbler/,,,,,,,,,,
0,afghan-snowfinch,Animalia,Chordata,Aves,,,,Passeriformes,Passeridae,Pyrgilauda,Pyrgilauda theresae,Asia,Afghanistan,,"Rocky areas,Shrubland,Desert,Mountains",,,"https://en.wikipedia.org/wiki/Afghan_snowfinch,https://www.iucnredlist.org/species/22718342/94576375",https://animalia.bio/afghan-snowfinch/,,,,,,,,,,
0,african-barred-owlet,Animalia,Chordata,Aves,,,,Strigiformes,Strigidae,Glaucidium,Glaucidium capense,Africa,"South Africa,","Angola,","Freshwater,Anthropogenic biome,Forest,Shrubland,Woodland","Terrestrial, ,Oviparous, ,Altricial",Not a migrant,"https://en.wikipedia.org/wiki/African_barred_owlet,https://www.iucnredlist.org/species/22689290/111870445,https://xeno-canto.org/699366",https://animalia.bio/african-barred-owlet/,,,,,,,,,,
0,african-black-duck,Animalia,Chordata,Aves,,,,Anseriformes,Anatidae,Anas,Anas sparsa,Africa,"Equatorial Guinea,","South Africa,","Freshwater,Forest,Grassland,Neritic zone,Shrubland,Wetlands,Anthropogenic biome,Marine,Rocky areas","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Territorial, ,Waterfowl",Not a migrant,"https://en.wikipedia.org/wiki/African_black_duck,https://www.iucnredlist.org/species/22680170/92847774,https://xeno-canto.org/615647",https://animalia.bio/african-black-duck/,,,,,,,,,,
0,african-black-swift,Animalia,Chordata,Aves,,,,Apodiformes,Apodidae,Apus,Apus barbatus,Africa,"South Africa,","Angola,","Forest,Grassland,Rocky areas,Mountains",,,"https://en.wikipedia.org/wiki/African_black_swift,https://www.iucnredlist.org/species/22686819/130110767",https://animalia.bio/african-black-swift/,,,,,,,,,,
0,african-blue-flycatcher,Animalia,Chordata,Aves,,,,Passeriformes,Stenostiridae,Elminia,Elminia longicauda,Africa,"Equatorial Guinea,",,"Anthropogenic biome,Forest,Savanna,Shrubland,Agricultural,Mangrove,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_blue_flycatcher,https://www.iucnredlist.org/species/22707021/118834918,https://xeno-canto.org/425384",https://animalia.bio/african-blue-flycatcher/,,,,,,,,,,
0,african-blue-tit,Animalia,Chordata,Aves,,,,Passeriformes,Paridae,Cyanistes,Cyanistes teneriffae,"Europe,",Africa,,"Anthropogenic biome,Forest,Shrubland,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_blue_tit,https://www.iucnredlist.org/species/103761672/104117708,https://xeno-canto.org/576326",https://animalia.bio/african-blue-tit/,,,"Spain,",,,,,,,
0,african-broadbill,Animalia,Chordata,Aves,,,,Passeriformes,Calyptomenidae,Smithornis,Smithornis capensis,Africa,"South Africa,","Angola,","Anthropogenic biome,Forest,Savanna,Shrubland,Woodland,Riparian","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_broadbill,https://www.iucnredlist.org/species/22698707/111225235,https://xeno-canto.org/615650",https://animalia.bio/african-broadbill/,,,,,,,,,,
0,african-citril,Animalia,Chordata,Aves,,,,Passeriformes,Fringillidae,Crithagra,Crithagra citrinelloides,Africa,"Eritrea,",,"Freshwater,Anthropogenic biome,Forest,Grassland,Wetlands,Woodland,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_citril,https://www.iucnredlist.org/species/22720084/94656945,https://xeno-canto.org/615651",https://animalia.bio/african-citril/,,,,,,,,,,
