,Common Name,Kingdom,Phylum,Class,Subclass,Infraclass,Superorder,Order,Family,Genus,SPECIES,Continents,Countries,Regions,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Subcontinents,Group name,Islands,Introduced Countries,Suborder,Oceans,SUBSPECIES OF,Subfamily,Subgenus,Tribe
0,african-marsh-harrier,Animalia,Chordata,Aves,,,,Accipitriformes,Accipitridae,Circus,Circus ranivorus,Africa,"South Africa,","Angola,","Freshwater,Anthropogenic biome,Grassland,Wetlands,Marsh","Terrestrial, ,Oviparous, ,Altricial, ,Soaring",Not a migrant,"https://en.wikipedia.org/wiki/African_marsh_harrier,https://www.iucnredlist.org/species/22695352/93504602",https://animalia.bio/african-marsh-harrier/,,,,,,,,,,
0,african-olive-pigeon,Animalia,Chordata,Aves,,,,Columbiformes,Columbidae,Columba,Columba arquatrix,"Africa,",Asia,"South Africa,","Freshwater,Anthropogenic biome,Forest,Mountains","Terrestrial, ,Oviparous, ,Gliding",Not a migrant,"https://en.wikipedia.org/wiki/African_olive_pigeon,https://www.iucnredlist.org/species/22690145/93262374,https://xeno-canto.org/646371",https://animalia.bio/african-olive-pigeon/,,,,,,,,,,
0,african-openbill,Animalia,Chordata,Aves,,,,Ciconiiformes,Ciconiidae,Anastomus,Anastomus lamelligerus,Africa,"South Africa,","Angola,","Freshwater,Grassland,Wetlands,Anthropogenic biome,Intertidal zone,Marsh,Swamp","Terrestrial, ,Congregatory, ,Oviparous, ,Soaring, ,Nomadic",Migrating,"https://en.wikipedia.org/wiki/African_openbill,https://www.iucnredlist.org/species/22697664/132274733",https://animalia.bio/african-openbill/,,,,,,,,,,
0,african-oystercatcher,Animalia,Chordata,Aves,,,,Charadriiformes,Haematopodidae,Haematopus,Haematopus moquini,Africa,"South Africa,",,"Intertidal zone,Coastal,Marine,Rocky areas","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Wading bird",Not a migrant,"https://en.wikipedia.org/wiki/African_oystercatcher,https://www.iucnredlist.org/species/22693627/118385157,https://xeno-canto.org/615683",https://animalia.bio/african-oystercatcher/,,,,,,,,,,
0,african-palm-swift,Animalia,Chordata,Aves,,,,Apodiformes,Apodidae,Cypsiurus,Cypsiurus parvus,"Africa,",Asia,"Equatorial Guinea,","Freshwater,Anthropogenic biome,Forest,Savanna","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_palm_swift,https://www.iucnredlist.org/species/155257123/155636301,https://xeno-canto.org/615652",https://animalia.bio/african-palm-swift/,,,,,,,,,,
0,african-paradise-flycatcher,Animalia,Chordata,Aves,,,,Passeriformes,Monarchidae,Terpsiphone,Terpsiphone viridis,"Africa,",Asia,"Equatorial Guinea,","Anthropogenic biome,Forest,Savanna,Shrubland,Agricultural,Woodland,Grassland","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/African_paradise_flycatcher,https://www.iucnredlist.org/species/22707108/94107090,https://xeno-canto.org/704564",https://animalia.bio/african-paradise-flycatcher/,,,,,,,,,,
0,african-penguin,Animalia,Chordata,Aves,,,,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,Africa,"Angola,",,"Intertidal zone,Coastal,Neritic zone,Oceanic pelagic zone,Shrubland,Marine","Semiaquatic, ,Flightless bird, ,Shorebirds, ,Altricial, ,Burrowing, ,Natatorial, ,Terrestrial, ,Territorial, ,Congregatory, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_penguin,http://www.iucnredlist.org/details/22697810/0,https://xeno-canto.org/646453",https://animalia.bio/african-penguin/,Sub-Saharan Africa,"rookery, colony, huddle, convent, waddle, raft",,,,,,,,
0,african-piculet,Animalia,Chordata,Aves,,,,Piciformes,Picidae,Verreauxia,Sasia africana,Africa,"Equatorial Guinea,",,Forest,,,"https://en.wikipedia.org/wiki/African_piculet,https://www.iucnredlist.org/species/22680784/92878132,https://xeno-canto.org/609367",https://animalia.bio/african-piculet/,,,,,,,,,,
0,african-pied-hornbill,Animalia,Chordata,Aves,,,,Bucerotiformes,Bucerotidae,Lophoceros,Lophoceros fasciatus,Africa,"Equatorial Guinea,",,"Freshwater,Anthropogenic biome,Forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_pied_hornbill,https://www.iucnredlist.org/species/61612961/95171708,https://xeno-canto.org/620804",https://animalia.bio/african-pied-hornbill/,,,,,,,,,,
0,african-pied-wagtail,Animalia,Chordata,Aves,,,,Passeriformes,Motacillidae,Motacilla,Motacilla aguimp,Africa,"Egypt,","Equatorial Guinea,","Freshwater,Anthropogenic biome,Wetlands,Forest,Grassland,Marsh","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_pied_wagtail,https://www.iucnredlist.org/species/22718366/132117671,https://xeno-canto.org/669331",https://animalia.bio/african-pied-wagtail/,,,,,,,,,,
0,african-pipit,Animalia,Chordata,Aves,,,,Passeriformes,Motacillidae,Anthus,Anthus cinnamomeus,"Africa,",Asia,"South Africa,","Anthropogenic biome,Grassland,Mountains,Wetlands","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/African_pipit,https://www.iucnredlist.org/species/103821565/111993308,https://xeno-canto.org/647138",https://animalia.bio/african-pipit/,,,,,,,,,,
