,Common Name,Animalia_Link,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Regions,Biome,Lifestyle,Seasonal behavior,Ref,Subclass,Infraclass,Superorder,Subcontinents,Group name,Suborder,Subfamily,Introduced Countries,Islands,Oceans,Seas,Tribe,SUBSPECIES OF
0,regal-sunbird,https://animalia.bio/regal-sunbird/,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris regius,Africa,"Burundi,",,"Forest,Shrubland,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Regal_sunbird,https://www.iucnredlist.org/species/22717927/94557969,https://xeno-canto.org/703388",,,,,,,,,,,,,
0,regent-bowerbird,https://animalia.bio/regent-bowerbird/,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Sericulus,Sericulus chrysocephalus,,Australia,,"Forest,Rainforest,Anthropogenic biome","Zoochory, ,Terrestrial, ,Territorial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Regent_bowerbird,https://www.iucnredlist.org/species/22703676/93932309",,,,,,,,,,,,,
0,regent-honeyeater,https://animalia.bio/regent-honeyeater/,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,Anthochaera phrygia,,Australia,,"Forest,Savanna,Woodland,Mountains","Terrestrial, ,Congregatory, ,Nomadic, ,Oviparous, ,Arboreal",,"https://en.wikipedia.org/wiki/Regent_honeyeater,https://www.iucnredlist.org/species/22704415/130992272,https://xeno-canto.org/661747",,,,,,,,,,,,,
0,regent-parrot,https://animalia.bio/regent-parrot/,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,Polytelis anthopeplus,,Australia,,"Anthropogenic biome,Forest,Savanna,Shrubland,Rocky areas","Terrestrial, ,Nomadic, ,Oviparous, ,Arboreal",,"https://en.wikipedia.org/wiki/Regent_parrot,https://www.iucnredlist.org/species/22685078/93058023,https://xeno-canto.org/638864",,,,,,,,,,,,,
0,regent-whistler,https://animalia.bio/regent-whistler/,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Pachycephala,Pachycephala schlegelii,Asia,"Papua New Guinea,",,"Forest,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Regent_whistler,https://www.iucnredlist.org/species/22705513/118685625,https://xeno-canto.org/445145",,,,,,,,,,,,,
0,reichards-seedeater,https://animalia.bio/reichards-seedeater/,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Crithagra,Crithagra reichardi,Africa,"Burundi,",,"Anthropogenic biome,Savanna,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Reichard's_seedeater,https://www.iucnredlist.org/species/103761856/111162985",,,,,,,,,,,,,
0,reichenbachs-sunbird,https://animalia.bio/reichenbachs-sunbird/,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Anabathmis,Anabathmis reichenbachii,Africa,"Equatorial Guinea,",,"Freshwater,Anthropogenic biome,Forest,Shrubland,Wetlands",,,"https://en.wikipedia.org/wiki/Reichenbach's_sunbird,https://www.iucnredlist.org/species/22717705/94547607",,,,,,,,,,,,,
0,reichenows-batis,https://animalia.bio/reichenows-batis/,Animalia,Chordata,Aves,Passeriformes,Platysteiridae,Batis,Batis reichenowi,Africa,Tanzania,,"Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Reichenow's_batis,https://www.iucnredlist.org/species/22707842/112335107",,,,,,,,,,,,,
0,reichenows-seedeater,https://animalia.bio/reichenows-seedeater/,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Crithagra,Crithagra reichnowi,Africa,"Djibouti,",,"Anthropogenic biome,Forest,Savanna,Shrubland",,,"https://en.wikipedia.org/wiki/Reichenow's_seedeater,https://www.iucnredlist.org/species/22720154/94659425",,,,,,,,,,,,,
0,reischeks-parakeet,https://animalia.bio/reischeks-parakeet/,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus,Cyanoramphus hochstetteri,,New Zealand,,,,,https://en.wikipedia.org/wiki/Reischek's_parakeet,,,,,,,,,,,,,
0,reisers-tyrannulet,https://animalia.bio/reisers-tyrannulet/,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Phyllomyias,Phyllomyias reiseri,South America,"Brazil,",,Forest,,,"https://en.wikipedia.org/wiki/Reiser's_tyrannulet,https://www.iucnredlist.org/species/22699086/93714507,https://xeno-canto.org/698587",,,,,,,,,,,,,
0,relict-gull,https://animalia.bio/relict-gull/,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Ichthyaetus relictus,Asia,"China,",,"Freshwater,Neritic zone,Wetlands,Marine",,,"https://en.wikipedia.org/wiki/Relict_gull,https://www.iucnredlist.org/species/22694447/119398496,https://xeno-canto.org/131997",,,,,,,,,,,,,
0,rennell-fantail,https://animalia.bio/rennell-fantail/,Animalia,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura rennelliana,,Solomon Islands,,"Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Rennell_fantail,https://www.iucnredlist.org/species/22706865/94094300",,,,,,,,,,,,,
0,rennell-parrot,https://animalia.bio/rennell-parrot/,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Geoffroyus,Geoffroyus hyacinthinus,,Solomon Islands,,"Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Rennell_parrot,https://www.iucnredlist.org/species/45419311/95148488",,,,,,,,,,,,,
0,rennell-shrikebill,https://animalia.bio/rennell-shrikebill/,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Clytorhynchus,Clytorhynchus hamlini,,Solomon Islands,,"Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Rennell_shrikebill,https://www.iucnredlist.org/species/22707224/156176156",,,,,,,,,,,,,
0,rennell-starling,https://animalia.bio/rennell-starling/,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Aplonis,Aplonis insularis,,Solomon Islands,,"Forest,Agricultural,Anthropogenic biome",,,"https://en.wikipedia.org/wiki/Rennell_starling,https://www.iucnredlist.org/species/22710534/94250329",,,,,,,,,,,,,
0,rennell-whistler,https://animalia.bio/rennell-whistler/,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Pachycephala,Pachycephala feminina,,Solomon Islands,,"Anthropogenic biome,Forest,Savanna,Shrubland",,,"https://en.wikipedia.org/wiki/Rennell_whistler,https://www.iucnredlist.org/species/103693426/118690140,https://xeno-canto.org/246678",,,,,,,,,,,,,
0,rennell-whiteeye,https://animalia.bio/rennell-whiteeye/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,resplendent-quetzal,https://animalia.bio/resplendent-quetzal/,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Pharomachrus,Pharomachrus mocinno,North America,"Costa Rica,",,"Tropical moist forests,Forest,Rainforest,Anthropogenic biome,Shrubland,Mountains","Arboreal, ,Altricial, ,Terrestrial, ,Oviparous, ,Territorial","Not a migrant, ,Partially migrant","https://en.wikipedia.org/wiki/Resplendent_quetzal,https://www.iucnredlist.org/species/22682727/92958465,https://xeno-canto.org/627616",,,,Central America,,,,,,,,,
0,restinga-tyrannulet,https://animalia.bio/restinga-tyrannulet/,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Phylloscartes,Phylloscartes kronei,South America,Brazil,,"Freshwater,Forest,Shrubland,Wetlands",,,"https://en.wikipedia.org/wiki/Restinga_tyrannulet,https://www.iucnredlist.org/species/22724425/156533044,https://xeno-canto.org/614790",,,,,,,,,,,,,
0,restless-flycatcher,https://animalia.bio/restless-flycatcher/,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Myiagra,Myiagra inquieta,,Australia,,"Anthropogenic biome,Forest,Savanna,Shrubland","Terrestrial, ,Nomadic, ,Oviparous",,"https://en.wikipedia.org/wiki/Restless_flycatcher,https://www.iucnredlist.org/species/103711768/112352391,https://xeno-canto.org/689361",,,,,,,,,,,,,
0,retzs-helmetshrike,https://animalia.bio/retzs-helmetshrike/,Animalia,Chordata,Aves,Passeriformes,Vangidae,Prionops,Prionops retzii,Africa,"South Africa,","Angola,","Anthropogenic biome,Forest,Savanna,Shrubland,Mangrove","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Retz's_helmetshrike,https://www.iucnredlist.org/species/22707788/94137622,https://xeno-canto.org/660738",,,,,,,,,,,,,
0,réunion-bulbul,https://animalia.bio/réunion-bulbul/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-cuckooshrike,https://animalia.bio/réunion-cuckooshrike/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-grey-whiteeye,https://animalia.bio/réunion-grey-whiteeye/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-harrier,https://animalia.bio/réunion-harrier/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-ibis,https://animalia.bio/réunion-ibis/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-kestrel,https://animalia.bio/réunion-kestrel/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-night-heron,https://animalia.bio/réunion-night-heron/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-olive-whiteeye,https://animalia.bio/réunion-olive-whiteeye/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-owl,https://animalia.bio/réunion-owl/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-rail,https://animalia.bio/réunion-rail/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-sheldgoose,https://animalia.bio/réunion-sheldgoose/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,réunion-stonechat,https://animalia.bio/réunion-stonechat/,,,,,,,,,,,,,,,,,,,,,,,,,,,
