,Common Name,Animalia_Link,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Biome,Ref,Introduced Countries,Regions,Lifestyle,Seasonal behavior,Subfamily,Subclass,Infraclass,Superorder,Subcontinents,Group name,Suborder,Oceans,Islands,Tribe,Seas
0,cliff-swallow,https://animalia.bio/cliff-swallow/,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota,"North America,",South America,"Agricultural,Anthropogenic biome,Coastal,Forest,Freshwater,Lakes,Marsh,Wetlands,Rivers,Grassland,Suburban,Urban wildlife,Caves and Subterranean Habitats,Mountains,Rocky areas","https://en.wikipedia.org/wiki/Cliff_swallow,https://www.iucnredlist.org/species/22712427/94333165,https://xeno-canto.org/613125",,"Antigua and Barbuda,","Arboreal, ,Terrestrial, ,Oviparous",Migrating,,,,,,,,,,,
0,cloud-cisticola,https://animalia.bio/cloud-cisticola/,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,Cisticola textrix,Africa,"South Africa,","Anthropogenic biome,Grassland,Intertidal zone,Shrubland,Marine","https://en.wikipedia.org/wiki/Cloud_cisticola,https://www.iucnredlist.org/species/22713519/118727081,https://xeno-canto.org/516077",,"Angola,","Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,cloudforest-pygmy-owl,https://animalia.bio/cloudforest-pygmy-owl/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,cloudforest-screech-owl,https://animalia.bio/cloudforest-screech-owl/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,clovenfeathered-dove,https://animalia.bio/clovenfeathered-dove/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,clubwinged-manakin,https://animalia.bio/clubwinged-manakin/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,coal-tit,https://animalia.bio/coal-tit/,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,Periparus ater,"Europe,",Africa,"Taiga,Temperate coniferous forest,Temperate broadleaf and mixed forest,Tropical moist forests,Shrubland,Anthropogenic biome,Urban wildlife,Forest,Agricultural","https://en.wikipedia.org/wiki/Coal_tit,https://www.iucnredlist.org/species/22735965/118835425,https://xeno-canto.org/707486",,,"Arboreal, ,Altricial, ,Terrestrial, ,Oviparous, ,Burrowing","Partially migrant, ,Not a migrant",,,,,"Asia,",,,,,,
0,coalcrested-finch,https://animalia.bio/coalcrested-finch/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,coastal-cisticola,https://animalia.bio/coastal-cisticola/,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,Cisticola haematocephalus,Africa,"Kenya,","Freshwater,Anthropogenic biome,Grassland,Savanna,Shrubland,Wetlands,Swamp","https://en.wikipedia.org/wiki/Coastal_cisticola,https://www.iucnredlist.org/species/103776144/112875673,https://xeno-canto.org/621886",,,,,,,,,,,,,,,
0,coastal-miner,https://animalia.bio/coastal-miner/,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Geositta,Geositta peruviana,South America,Peru,Shrubland,"https://en.wikipedia.org/wiki/Coastal_miner,https://www.iucnredlist.org/species/22701988/93856325,https://xeno-canto.org/47839",,,,,,,,,,,,,,,
0,cobaltrumped-parrotlet,https://animalia.bio/cobaltrumped-parrotlet/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,cobaltwinged-parakeet,https://animalia.bio/cobaltwinged-parakeet/,,,,,,,,,,,,,,,,,,,,,,,,,,
