,Common Name,Animalia_Link,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Biome,Ref,Introduced Countries,Regions,Lifestyle,Seasonal behavior,Subfamily,Subclass,Infraclass,Superorder,Subcontinents,Group name,Suborder,Oceans,Islands,Tribe,Seas
0,collared-kingfisher,https://animalia.bio/collared-kingfisher/,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris,"Oceania,",Africa,"Tropical savanna,Desert,Tropical moist forests,Mangrove,Rivers,Freshwater,Anthropogenic biome,Forest,Grassland,Intertidal zone,Neritic zone,Savanna,Wetlands,Marine,Agricultural,Woodland,Mountains,Rocky areas,Swamp","https://en.wikipedia.org/wiki/Collared_kingfisher,http://www.iucnredlist.org/details/22683399/0,https://xeno-canto.org/684609",,,"Terrestrial, ,Altricial, ,Oviparous, ,Arboreal, ,Burrowing, ,Gliding",Not a migrant,Halcyoninae,Neornithes,Neognathae,Neoaves,"Asia,","concentration, realm",Alcedini,,,,
0,collared-lark,https://animalia.bio/collared-lark/,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Mirafra,Mirafra collaris,Africa,"Ethiopia,","Grassland,Savanna,Shrubland","https://en.wikipedia.org/wiki/Collared_lark,https://www.iucnredlist.org/species/22717076/94520593",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-laughingthrush,https://animalia.bio/collared-laughingthrush/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,collared-lory,https://animalia.bio/collared-lory/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,collared-myna,https://animalia.bio/collared-myna/,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,Acridotheres albocinctus,Asia,"China,","Anthropogenic biome,Grassland","https://en.wikipedia.org/wiki/Collared_myna,https://www.iucnredlist.org/species/22710943/111064388,https://xeno-canto.org/390776",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-nightjar,https://animalia.bio/collared-nightjar/,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Gactornis,Gactornis enarratus,Africa,Madagascar,"Forest,Mangrove","https://en.wikipedia.org/wiki/Collared_nightjar,https://www.iucnredlist.org/species/22690000/93256391",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-owlet,https://animalia.bio/collared-owlet/,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Taenioptynx brodiei,Asia,"China,","Anthropogenic biome,Forest,Shrubland,Woodland,Mountains,Montane forest","https://en.wikipedia.org/wiki/Collared_owlet,https://www.iucnredlist.org/species/22689200/93222388",,,,,,,,,,,,,,,
0,collared-palm-thrush,https://animalia.bio/collared-palm-thrush/,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Cichladusa,Cichladusa arquata,Africa,"South Africa,","Anthropogenic biome,Forest,Savanna,Shrubland","https://en.wikipedia.org/wiki/Collared_palm_thrush,https://www.iucnredlist.org/species/22709864/94226182,https://xeno-canto.org/365252",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-petrel,https://animalia.bio/collared-petrel/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,collared-plover,https://animalia.bio/collared-plover/,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius collaris,"North America,",South America,"Freshwater,Intertidal zone,Wetlands,Marine,Forest","https://en.wikipedia.org/wiki/Collared_plover,https://www.iucnredlist.org/species/22693842/163622696,https://xeno-canto.org/686879",,"Antigua and Barbuda,","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Wading bird",Not a migrant,,,,,,,,,,,
0,collared-pratincole,https://animalia.bio/collared-pratincole/,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola,Glareola pratincola,"Europe,","Asia,","Freshwater,Anthropogenic biome,Grassland,Intertidal zone,Wetlands,Marine","https://en.wikipedia.org/wiki/Collared_pratincole,https://www.iucnredlist.org/species/22694127/120026910,https://xeno-canto.org/659310",,Africa,"Terrestrial, ,Congregatory, ,Oviparous, ,Precocial",Migrating,,,,,,,,,,,
0,collared-puffbird,https://animalia.bio/collared-puffbird/,Animalia,Chordata,Aves,Piciformes,Bucconidae,Bucco,Bucco capensis,South America,"Ecuador,","Freshwater,Forest,Shrubland,Wetlands","https://en.wikipedia.org/wiki/Collared_puffbird,https://www.iucnredlist.org/species/22682258/92937509,https://xeno-canto.org/519475",,"Bolivia,","Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-scops-owl,https://animalia.bio/collared-scops-owl/,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,Otus lettia,Asia,"China,","Freshwater,Anthropogenic biome,Forest","https://en.wikipedia.org/wiki/Collared_scops_owl,https://www.iucnredlist.org/species/61855318/118498941,https://xeno-canto.org/658611",,,"Terrestrial, ,Oviparous, ,Altricial","Partially migrant, ,Migrating",,,,,,,,,,,
0,collared-sparrowhawk,https://animalia.bio/collared-sparrowhawk/,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cirrocephalus,Asia,"Australia,","Freshwater,Anthropogenic biome,Forest,Grassland,Savanna,Shrubland,Wetlands,Urban wildlife","https://en.wikipedia.org/wiki/Collared_sparrowhawk,https://www.iucnredlist.org/species/22695599/93518623,https://xeno-canto.org/299599",,,"Terrestrial, ,Oviparous, ,Altricial, ,Soaring, ,Gliding",Not a migrant,,,,,,,,,,,
0,collared-sunbird,https://animalia.bio/collared-sunbird/,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Hedydipna,Hedydipna collaris,Africa,"Equatorial Guinea,","Freshwater,Anthropogenic biome,Forest,Savanna,Shrubland,Wetlands,Agricultural","https://en.wikipedia.org/wiki/Collared_sunbird,https://www.iucnredlist.org/species/22717668/94545190,https://xeno-canto.org/664679",,"South Africa,","Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
