Common Name
Abbotts sunbird
Aberdare cisticola
Abyssinian catbird
Abyssinian owl
Abyssinian waxbill
Admiralty cicadabird
African crake
African desert warbler
Aguiguan reed warbler
Ainleys storm petrel
Akiapolaau
Akohekohe
Alagoas antwren
Alagoas foliagegleaner
Alagoas tyrannulet
Albertine owlet
Albertine sooty boubou
Aldabra brush warbler
Algerian nuthatch
Allpahuayo antbird
Alor boobook
Alor myzomela
Alpine leaf warbler
Alströms warbler
Alta Floresta antpitta
Amani sunbird
Amazonian antpitta
Amazonian grosbeak
Ameline swiftlet
American bushtit
American dipper
American dusky flycatcher
American flamingo
American golden plover
American goldfinch
American gray flycatcher
American herring gull
American kestrel
American oystercatcher
American purple gallinule
American pygmy kingfisher
American redstart
American robin
American threetoed woodpecker
American tree sparrow
American white ibis
American yellow warbler
Amethystthroated mountaingem
Ampay tapaculo
Amsterdam wigeon
Anambra waxbill
Andaman nightjar
Andean condor
Andean coot
Angolan slaty flycatcher
Anhinga
Anjouan brush warbler
Anjouan scops owl
Ankober serin
Annam prinia
Annobón paradise flycatcher
Annobón whiteeye
Ansorges greenbul
Anthonys nightjar
Antioquia bristle tyrant
Antioquia wren
Apperts tetraka
Apurímac brushfinch
Arabian scops owl
Arabian waxbill
Arabian woodpecker
Arafura shrikethrush
Archbolds nightjar
Archbolds owletnightjar
Archers lark
Arfak astrapia
Ascension night heron
Ashs lark
Asian redeyed bulbul
Asir magpie
Assam laughingthrush
Athi shorttoed lark
Audubons warbler
Australian crake
Ayacucho thistletail
Ayress hawkeagle
Azure tit
Bahian mousecolored tapaculo
Bald eagle
Baliem whistler
Bamboo foliagegleaner
Bandtailed oropendola
Banggai jungle flycatcher
Barbellied woodcreeper
Barecheeked trogon
Barelegged swiftlet
Bartailed cuckoodove
Barwinged rail
Baudo guan
Bearded reedling
Bearded vulture
Benguela longbilled lark
Bermuda towhee
Besra
Biak whistler
Bicolored antpitta
Bicolored scrubwren
Bishops oo
Bismarck whistler
Bismarck whiteeye
Black curassow
Black currawong
Black kite
Black magpie
Black mannikin
Black skimmer
Black stork
Black storm petrel
Black tern
Black vulture
Blackandwhite warbler
Blackbilled koel
Blackbrowed bushtit
Blackbrowed fulvetta
Blackcapped babbler
Blackcrested tittyrant
Blackcrowned babbler
Blackcrowned fulvetta
Blackdotted piculet
Blackeared ground thrush
Blackfaced laughingthrush
Blackfaced prinia
Blackheaded antthrush
Blackheaded parrotbill
Blackheaded weaver
Blackhooded laughingthrush
Blackish chattyrant
Blacklored waxbill
Blacklored yellowthroat
Blacknecked wattleeye
Blacknecklaced honeyeater
Blackspectacled brushfinch
Blackthroated bushtit
Blackthroated euphonia
Blackthroated thistletail
Blackwinged kite
Blackwinged starling
Blue jay
Blueeared kingfisher
Bluefooted booby
Bluefronted robin
Blueheaded beeeater
Blueheaded pitta
Bluemoustached beeeater
Bluethroated hillstar
Bluethroated motmot
Bluethroated sapphire
Bluevented hummingbird
Bluewinged parakeet
Bluewinged parrotlet
Blyths swift
Bobolink
