,Attribute,Occur,Perc
0,Class,12218,100.0
1,Kingdom,12218,100.0
2,Phylum,12218,100.0
3,Order,12001,98.22393190374856
4,Binomial Name,12000,98.21574725814372
5,Family,11993,98.15845473890981
6,Categories,10621,86.92912096906204
7,Description,10621,86.92912096906204
8,Genus,10621,86.92912096906204
9,Image,10621,86.92912096906204
10,References,10621,86.92912096906204
11,Species,10621,86.92912096906204
12,Wiki URL,10621,86.92912096906204
13,Conservation status,9945,81.3963005401866
14,Country,7574,61.99050581109839
15,Eol_Link,7099,58.102799148796855
16,Eol_Description,7099,58.102799148796855
17,locomotion,6806,55.70469798657718
18,visual system,6443,52.73367163201833
19,auditory system,6365,52.0952692748404
20,geographic distribution includes,6304,51.59600589294484
21,habitat,6022,49.28793583237846
22,mineralized skeleton contains,5871,48.052054346046816
23,Ebird_Link,5526,45.228351612375185
24,Ebird_Description,5526,45.228351612375185
25,population trend,5501,45.02373547225405
26,hearing threshold,5433,44.46717957112457
27,Habitat,5004,40.95596660664593
28,biogeographic realm,4593,37.592077263054506
29,body mass,3510,28.728106073007037
30,hearing range,3125,25.57701751514159
31,ecoregion,2309,18.89834670158782
32,conservation status,1849,15.133409723358978
33,type specimen repository,1262,10.329022753314781
34,eats,1054,8.626616467506958
35,trophic guild,744,6.089376330004911
36,foraging habitat,570,4.665247994761827
37,native range includes,472,3.863152725486987
38,body shape,456,3.7321983958094616
39,life span,454,3.715829104599771
40,weight,449,3.674905876575544
41,prenatal development duration,419,3.429366508430185
42,ecomorphological guild,415,3.3966279260108037
43,diet includes,358,2.9301031265346213
44,mating system,328,2.684563758389262
45,social system,303,2.4799476182681293
46,litters per year,290,2.3735472254051397
47,behavioral circadian rhythm,230,1.8824684891144212
48,preys on,215,1.7596988050417417
49,genome size,177,1.44868227205762
50,parental care,167,1.3668358160091667
51,parasitized by,152,1.2440661319364872
52,growth rate,150,1.2276968407267965
53,visits flowers of,136,1.1131118022589621
54,bill length,90,0.7366181044360779
55,basal metabolic rate,89,0.7284334588312326
56,temperature at range midpoint latitude,87,0.712064167621542
57,tarsus length,65,0.5320019643149452
58,has ectoparasite,65,0.5320019643149452
59,body length,57,0.4665247994761827
60,mutualistic with,52,0.42560157145195615
61,sensory system,48,0.39286298903257494
62,is vector for,47,0.3846783434277296
63,host of,41,0.33557046979865773
64,clutch/brood/litter size,41,0.33557046979865773
65,has host,34,0.27827795056474053
66,onset of fertility,28,0.22917007693566865
67,body temperature,25,0.20461614012113274
68,number of public records in bold,23,0.18824684891144214
69,is eaten by,16,0.13095432967752496
70,egg mass,16,0.13095432967752496
71,initial mortality rate,15,0.12276968407267964
72,used for,14,0.11458503846783433
73,preyed upon by,13,0.10640039286298904
74,tarsometatarsus + middle toe length,13,0.10640039286298904
75,motility,12,0.09821574725814373
76,trophic level,11,0.0900311016532984
77,visits,10,0.0818464560484531
78,middle toe length,9,0.0736618104436078
79,has endoparasite,9,0.0736618104436078
80,mortality rate doubling time,9,0.0736618104436078
81,symbiont of,7,0.057292519233917164
82,has pathogen,7,0.057292519233917164
83,reproduction,7,0.057292519233917164
84,parasite of,7,0.057292519233917164
85,is killed by,7,0.057292519233917164
86,pathogen of,6,0.04910787362907187
87,mineralized tissue contains,5,0.04092322802422655
88,plant growth form,5,0.04092322802422655
89,harvested in,4,0.03273858241938124
90,produces,4,0.03273858241938124
91,water depth,3,0.024553936814535934
92,Total length,3,0.024553936814535934
93,invasive in,2,0.01636929120969062
94,Leaf Complexity,2,0.01636929120969062
95,leaf morphology,2,0.01636929120969062
96,life cycle habit,2,0.01636929120969062
97,photosynthetic pathway,2,0.01636929120969062
98,plant lifeform,2,0.01636929120969062
99,developmental mode,2,0.01636929120969062
100,wing morphology,2,0.01636929120969062
101,standard length,1,0.00818464560484531
102,seed dry mass,1,0.00818464560484531
103,after harvest regrowth rate,1,0.00818464560484531
104,anaerobic soil tolerance,1,0.00818464560484531
105,bloom period,1,0.00818464560484531
106,calcareous soil tolerance,1,0.00818464560484531
107,fire resistance,1,0.00818464560484531
108,fire tolerance,1,0.00818464560484531
109,fruit or seed color,1,0.00818464560484531
110,planting density,1,0.00818464560484531
111,precipitation tolerance,1,0.00818464560484531
112,seeds per pound,1,0.00818464560484531
113,spore arrangement,1,0.00818464560484531
114,leaf sheddability,1,0.00818464560484531
115,fruit type,1,0.00818464560484531
116,leaf lamina area,1,0.00818464560484531
117,leaf mass per area,1,0.00818464560484531
118,leaf nitrogen per dry mass,1,0.00818464560484531
119,vegetative plant height,1,0.00818464560484531
120,leaf arrangement,1,0.00818464560484531
121,supporting structures and enclosures,1,0.00818464560484531
122,diet breadth,1,0.00818464560484531
123,geographic range (size of area),1,0.00818464560484531
124,habitat breadth,1,0.00818464560484531
125,social group size,1,0.00818464560484531
126,territorial,1,0.00818464560484531
