"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-E020DD7B","DISTRIB","ANNUAL","Species distribution","Geographical range","Queensland (except Cape York Peninsula), New South Wales, Victoria and South Australia; introduced into West Australia and Tasmania.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-E020DD7B","DISTRIB","ANNUAL","Species distribution","Geographical range","E and se Australia; introduced Tasmania and sw Australia","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-E020DD7B","DISTRIB","ANNUAL","Species distribution","Geographical range","sw WA, ec QLD to s VIC and se SA (sw, e Australia); introduced Tasmania","","","","","IOC 12.1","http://www.worldbirdnames.org/"
