"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-AF2DD9D5","DISTRIB","ANNUAL","Species distribution","Geographical range","Breeds on small tropical islands in the Gulf of Mexico, Caribbean Sea and Atlantic Ocean from the Florida Keys, Bahamas and the West Indies to British Honduras; Margarita Island; South Trinidad Island, Ascension Island, St. Helena Island, extending below the tropics to Tristan da Cunha and Inaccessible Islands; breeds also on islets in the Gulf of Guinea.","","","","","Peter's Checklist of the Birds of the World","http://www.biodiversitylibrary.org/bibliography/14581"
"avibase-AF2DD9D5","DISTRIB","ANNUAL","Species distribution","Geographical range","Caribbean and s Atlantic islands; Gulf of Guinea to Cameroon","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-AF2DD9D5","DISTRIB","ANNUAL","Species distribution","Geographical range","tropical Atlantic from Trindade (e of ne Brazil), Ascension and St. Helena (tropical se Atlantic Ocean), Gulf of Guinea is. and Tristan da Cunha group (ec South Atlantic Ocean); throughout Caribbean from Bush Key, Dry Tortugas (w of Florida) through is. off Yucatan and e Central America to South America to French Guiana","","","","","IOC 12.1","http://www.worldbirdnames.org/"
