"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-CBF777AA","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident (presumably) in northern Nicaragua (single specimen from Peña Blanca, probably depto. Chontales); northern Costa Rica (Brasilia), and in South America east of the Andes from southeastern Colombia, eastern Ecuador, and Amazonian Brazil south to Paraguay and northeastern Argentina. A sight report for Panama (Canal area) requires confirmation.","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
"avibase-CBF777AA","HABITAT","DESCR","Habitat","Habitat description","Tropical Lowland Evergreen Forest, Secondary Forest, lowland pine savanna? (0-1350 m; Tropical Zone). ","","","","","AOU Checklist","http://www.aou.org/checklist/north/print.php"
