"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-975EFD95","DISTRIB","ANNUAL","Species distribution","Geographical range","NE North America; Scandinavia to Murmansk and White Sea","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-975EFD95","DISTRIB","ANNUAL","Species distribution","Geographical range","ne Hudson Bay and s Baffin I. (ne Canada to Gulf of Maine; w, se Greenland to n Scandinavia, Baltic and White seas (nw Russia)","","","","","IOC 12.1","http://www.worldbirdnames.org/"
