https://animalia.bio/golden-cheeked-woodpecker,KINGDOMAnimaliaPHYLUMChordataCLASSAvesORDERPiciformesFAMILYPicidaeGENUSMelanerpesSPECIES 
,CONTINENTSNorth AmericaCOUNTRIESMexico 
,"LIFESTYLETerrestrial, Oviparous, AltricialSEASONAL BEHAVIORNot a migrant "
,POPULATION TRENDStablePOPULATION STATUSLeast concern (LC) 
,Golden-cheeked woodpecker Wikipedia article - https://en.wikipedia.org/wiki/Golden-cheeked_woodpecker2. Golden-cheeked woodpecker on The IUCN Red List site - https://www.iucnredlist.org/species/22680840/1686442463. Xeno-canto bird call - https://xeno-canto.org/688646 
